country_ioc,continent,language
JPN,Asia,Japanese
RUS,Europe,Yakut
FRA,Europe,Occitan
AUS,Oceania,English
CAN,America,Mohawk
BUL,Europe,Bulgarian
GBR,Europe,
SRB,Europe,Serbian (Latin)
USA,America,
ARG,America,Spanish
SLO,Europe,Slovenian
GER,Europe,Upper sorbian
LAT,Europe,Latvian
CZE,Europe,Czech
EST,Europe,Estonian
ESP,Europe,Spanish
UKR,Europe,Ukrainian
ROU,Europe,Romanian
KAZ,Asia,Kazakh
NED,Europe,Frisian
BEL,Europe,French
CRO,Europe,Croatian
SVK,Europe,Slovak
BLR,Europe,Belarusian
CHI,America,Spanish
SUI,Europe,Romansh
POL,Europe,Polish
LUX,Europe,Luxembourgish
ITA,Europe,Italian
GEO,Europe,Georgian
HUN,Europe,Hungarian
LTU,Europe,Lithuanian
BIH,Europe,Serbian (Latin)
QAT,,
TUR,Europe,Turkish
AUT,Europe,German
CYP,Europe, 
RSA,Africa,Setswana
TUN,Africa,Arabic
IND,Asia,Telugu
KOR,Asia,Korean
UZB,Asia,Uzbek (Latin)
MDA,Europe, 
BRA,America,Portuguese
POR,Europe,Portuguese
TPE,Asia,Chinese (Traditional) legacy
ESA,America,Spanish
NZL,Oceania,
URU,America,
GRE,Europe,Greek
PUR,America,Spanish
CHN,Asia,Yi
THA,Asia,Thai
SWE,Europe,Swedish
DEN,Europe,Danish
COL,America,Spanish
DOM,America,Spanish
NOR,Europe,Sami (Southern)
EGY,Africa,Arabic
BAR,America, 
LIE,Europe,German
PAR,America,Spanish
MNE,Europe,Serbian (Latin)
BOL,America,Spanish
ECU,America,Spanish
MEX,America,Spanish
IRL,Europe,Irish
ISR,Asia,Hebrew
ALG,Africa,Tamazight (Latin)
MON,Europe,French
FIN,Europe,Swedish
VEN,America,Spanish
LIB,Africa,Arabic
GUA,America,Spanish
PER,America,Spanish
INA,Asia,Indonesian
PHI,Asia,English
HKG,Asia,Chinese (Traditional) legacy
MAR,Africa,Arabic
ZIM,Africa,English
PAK,Asia,Urdu
IRI,Asia,Persian
SRI,Asia,Sinhala
MKD,Europe,
KGZ,Asia,Kyrgyz
ARM,Asia,Armenian
PNG,Oceania, 
SIN,Asia,English
BAH,America, 
TTO,,
GRN,Europe, 
TRI,America,English
CUB,America, 
CRC,America,Spanish
OMA,Africa,Arabic
MAS,Asia,Malay
PAN,America,Spanish
CMR,Africa, 
MLT,Europe,Maltese
LBN,,
BDI,Africa, 
NGR,Africa,Yoruba
MRI,Africa, 
GAB,Africa, 
AZE,,
BRN,,
SAM,Oceania, 
JAM,,
KEN,Africa,Kiswahili
GHA,,
MGL,Asia,Mongolian (Cyrillic)
JOR,,
GUD,America, 
NAM,Africa, 
REU,Africa,
MAD,Africa, 
MRN,,
VIE,Europe,Vietnamese
UNK,Europe,
SYR,,
SGP,Asia,English
UAE,,
AHO,,
BEN,,
HAI,America, 
ERI,,
ITF,,
COD,,
LBA,,
HON,America,Spanish
TKM,,
TJK,Asia,Tajik (Cyrillic)
POC,Unknown,
BER,,
AND,Europe, 
SMR,,
PHL,Asia,English
ANT,,
TOG,,
GUM,Oceania, 
VIN,,
BOT,,
CAM,Asia,Khmer
ZAM,,
KUW,Asia,Arabic
DEU,Europe,Upper sorbian
SAU,,
NGA,Africa,Yoruba
BGR,,
NLD,Europe,Frisian
LVA,,
GRC,Europe,Greek
CRI,,
BAN,,
